"date","value","deseasonalized_value"
1990-01-01,7.6,6.81617763772176
1990-02-01,7.5,6.80558239962652
1990-03-01,7.3,6.71485060690943
1990-04-01,7.9,6.76313492063492
1990-05-01,7.2,6.28580648926237
1990-06-01,6.3,6.23262021475257
1990-07-01,5.9,6.38332049486461
1990-08-01,5.9,6.86451097105509
1990-09-01,5.4,6.53117763772176
1990-10-01,5.8,6.95760620915033
1990-11-01,8,8.37820144724557
1990-12-01,8.5,8.56701097105509
1991-01-01,10.7,9.91617763772176
1991-02-01,11.2,10.5055823996265
1991-03-01,11.7,11.1148506069094
1991-04-01,12,10.8631349206349
1991-05-01,11.2,10.2858064892624
1991-06-01,9.2,9.13262021475257
1991-07-01,8.3,8.78332049486461
1991-08-01,8.7,9.66451097105509
1991-09-01,7.7,8.83117763772175
1991-10-01,7.1,8.25760620915033
1991-11-01,8.8,9.17820144724557
1991-12-01,10,10.0670109710551
1992-01-01,11.3,10.5161776377218
1992-02-01,11.7,11.0055823996265
1992-03-01,11.4,10.8148506069094
1992-04-01,11.7,10.5631349206349
1992-05-01,11.8,10.8858064892624
1992-06-01,10.5,10.4326202147526
1992-07-01,9,9.48332049486461
1992-08-01,9.1,10.0645109710551
1992-09-01,8.6,9.73117763772176
1992-10-01,8.5,9.65760620915033
1992-11-01,10.2,10.5782014472456
1992-12-01,10.1,10.1670109710551
1993-01-01,11.3,10.5161776377218
1993-02-01,10.8,10.1055823996265
1993-03-01,10.8,10.2148506069094
1993-04-01,10.9,9.76313492063492
1993-05-01,10.6,9.68580648926237
1993-06-01,9.9,9.83262021475257
1993-07-01,9.2,9.68332049486461
1993-08-01,9.2,10.1645109710551
1993-09-01,9.3,10.4311776377218
1993-10-01,8.9,10.0576062091503
1993-11-01,10.1,10.4782014472456
1993-12-01,10.4,10.4670109710551
1994-01-01,11.4,10.6161776377218
1994-02-01,11.8,11.1055823996265
1994-03-01,11.5,10.9148506069094
1994-04-01,12.5,11.3631349206349
1994-05-01,12.8,11.8858064892624
1994-06-01,11.5,11.4326202147526
1994-07-01,10.4,10.8833204948646
1994-08-01,10.2,11.1645109710551
1994-09-01,9.6,10.7311776377218
1994-10-01,10.1,11.2576062091503
1994-11-01,11.1,11.4782014472456
1994-12-01,10.9,10.9670109710551
1995-01-01,12.4,11.6161776377218
1995-02-01,11.3,10.6055823996265
1995-03-01,11.3,10.7148506069094
1995-04-01,12.6,11.4631349206349
1995-05-01,11.4,10.4858064892624
1995-06-01,10.4,10.3326202147526
1995-07-01,9.5,9.98332049486461
1995-08-01,9.3,10.2645109710551
1995-09-01,8.5,9.63117763772176
1995-10-01,8.1,9.25760620915033
1995-11-01,9.8,10.1782014472456
1995-12-01,10,10.0670109710551
1996-01-01,10.8,10.0161776377218
1996-02-01,10.2,9.50558239962652
1996-03-01,10.3,9.71485060690943
1996-04-01,11,9.86313492063492
1996-05-01,10.4,9.48580648926237
1996-06-01,9.3,9.23262021475257
1996-07-01,8.6,9.08332049486461
1996-08-01,8.1,9.06451097105509
1996-09-01,7.4,8.53117763772176
1996-10-01,7.5,8.65760620915033
1996-11-01,8.8,9.17820144724557
1996-12-01,9.8,9.86701097105509
1997-01-01,11,10.2161776377218
1997-02-01,10.5,9.80558239962652
1997-03-01,10.4,9.81485060690943
1997-04-01,11,9.86313492063492
1997-05-01,10.2,9.28580648926237
1997-06-01,9.3,9.23262021475257
1997-07-01,7.8,8.28332049486461
1997-08-01,7.2,8.16451097105509
1997-09-01,7.2,8.33117763772175
1997-10-01,6.7,7.85760620915033
1997-11-01,8.2,8.57820144724556
1997-12-01,8.4,8.46701097105509
1998-01-01,8.6,7.81617763772176
1998-02-01,8.1,7.40558239962652
1998-03-01,8.5,7.91485060690943
1998-04-01,8.4,7.26313492063492
1998-05-01,8,7.08580648926237
